YEAR,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20
January 1987,,59.43,54.79,46.96,50.35,64.41,68.55,77.44,,54.21,70.27,,,63.56,66.42,74.68,54.06,41.30,,,63.10,
February 1987,,59.89,55.22,47.30,50.16,65.13,68.92,78.10,,55.23,70.64,,,64.03,67.57,76.04,54.23,41.44,,,63.80,
March 1987,,60.40,55.49,47.84,50.38,66.00,69.39,77.69,,54.81,71.05,,,64.11,67.85,77.24,54.37,41.42,,,64.43,
April 1987,,61.32,56.05,47.98,50.74,66.64,69.46,77.82,,54.80,71.41,,,64.89,68.19,78.28,54.16,41.27,,,65.06,
May 1987,,62.03,56.46,48.31,50.76,67.44,69.75,77.97,,55.48,71.88,,,65.22,67.93,79.68,54.73,41.40,,,65.82,
June 1987,,62.78,56.79,48.61,50.43,68.52,69.47,78.68,,56.06,72.30,,,65.56,66.80,80.84,54.88,41.43,,,66.48,
July 1987,,63.46,57.08,49.08,50.20,69.39,69.64,78.99,,57.11,72.62,,,65.72,65.76,81.70,55.29,41.56,,,67.12,
August 1987,,64.13,57.38,49.54,50.12,70.25,69.80,78.95,,57.61,73.16,,,65.87,65.03,82.22,55.44,41.60,,,67.71,
September 1987,,64.89,57.84,50.24,50.06,71.40,70.57,79.04,,58.27,73.75,,,66.27,65.28,82.38,55.84,41.54,,,68.35,
October 1987,,65.77,58.30,50.99,50.15,72.32,71.02,78.87,,59.01,74.01,,,66.59,65.51,83.16,56.13,41.63,,,68.99,
November 1987,,66.71,58.90,51.64,49.73,73.16,71.42,79.02,,59.71,74.42,,,67.12,66.53,83.68,56.46,41.57,,,69.57,
December 1987,,67.78,59.40,52.23,49.85,73.59,71.46,79.36,,61.08,74.58,,,67.38,66.49,84.50,56.61,41.80,,,70.31,
January 1988,,68.78,60.02,52.70,49.55,74.40,71.68,79.50,,61.97,74.66,,,67.78,66.70,84.32,56.99,41.84,,,70.76,
February 1988,,69.71,60.49,53.20,49.49,75.29,71.83,79.43,,63.45,74.59,,,67.53,66.43,84.49,57.22,41.66,,,71.24,
March 1988,,70.70,61.28,53.87,49.06,76.39,72.35,79.24,,64.51,74.48,,,67.96,66.76,84.48,57.90,42.24,,,71.74,
April 1988,,71.48,61.44,54.53,48.74,77.30,72.72,79.66,,65.15,74.53,,,67.93,67.43,84.69,58.07,42.43,,,72.20,
May 1988,,72.48,61.85,56.07,48.35,78.38,73.10,79.95,,65.57,74.81,,,67.99,67.58,84.76,58.26,42.74,,,72.76,
June 1988,,74.39,61.44,57.88,48.17,79.34,73.71,80.18,,66.46,75.00,,,68.13,67.53,84.60,58.96,42.71,,,73.50,
July 1988,,76.92,64.59,58.17,48.22,80.78,74.11,80.51,,66.55,75.03,,,68.57,67.65,84.50,59.22,42.84,,,74.34,
August 1988,,78.67,65.29,58.50,48.25,81.93,74.68,80.71,,67.75,74.84,,,69.42,67.95,84.59,59.63,43.20,,,75.09,
September 1988,,80.61,66.08,58.94,48.21,83.16,75.25,80.63,,68.02,74.71,,,69.71,68.46,84.58,59.89,43.43,,,75.82,
October 1988,,82.38,67.18,59.95,48.03,83.67,75.60,80.73,,69.03,74.60,,,69.89,68.46,84.48,60.34,43.74,,,76.43,
November 1988,,84.41,68.43,61.11,47.75,84.63,75.96,80.61,,68.65,74.64,,,69.64,68.14,84.49,60.73,43.95,,,77.08,
December 1988,,85.82,69.83,62.47,47.44,85.93,76.22,80.90,,68.51,74.70,,,69.85,67.83,84.38,61.31,44.21,,,77.68,
January 1989,67.57,87.47,71.17,63.29,47.47,86.87,76.58,80.56,,68.33,74.52,,63.49,69.92,68.78,84.48,62.00,44.48,,,78.33,
February 1989,67.62,88.77,72.76,64.06,47.45,87.80,76.99,80.99,,69.01,75.17,,63.15,70.33,69.64,84.27,62.07,44.80,,,78.90,
March 1989,67.92,91.15,74.48,65.56,47.53,88.62,77.18,81.61,,70.07,75.55,,62.69,70.62,70.48,84.19,62.17,45.00,,,79.82,
April 1989,67.97,93.01,75.81,66.70,47.47,89.33,77.55,81.97,,70.65,75.39,,63.08,70.88,70.00,83.88,61.97,45.35,,,80.44,
May 1989,68.07,94.57,77.05,67.70,47.60,89.78,77.57,82.35,,70.51,75.04,,63.18,71.22,69.79,83.49,62.64,45.61,,,80.83,
June 1989,67.70,95.51,78.14,68.78,47.61,90.20,77.81,81.96,,70.52,74.52,,63.74,71.48,71.55,82.95,62.83,46.02,,,81.07,
July 1989,67.34,96.25,79.03,69.59,47.50,90.71,78.04,81.87,,70.33,74.18,,63.56,71.66,71.77,82.17,63.27,46.26,,,81.14,
August 1989,66.95,96.66,80.10,70.72,47.48,91.37,78.26,81.24,,70.37,73.44,,63.80,71.61,72.39,81.94,63.88,46.59,,,81.40,
September 1989,66.82,97.20,81.10,71.59,47.60,91.93,78.25,81.67,,70.18,73.01,,63.89,71.68,72.79,81.54,64.31,46.93,,,81.62,
October 1989,66.56,97.88,82.06,72.43,47.90,92.19,78.38,81.94,,70.06,72.72,,64.12,71.82,73.46,81.79,64.72,47.35,,,81.94,
November 1989,66.49,99.00,82.71,73.02,48.11,92.38,78.32,82.30,,69.87,72.99,,64.40,72.29,74.26,81.55,64.57,47.76,,,82.23,
December 1989,66.50,99.77,83.57,73.39,48.21,92.84,78.72,82.15,,69.68,73.00,,64.39,72.58,74.86,81.34,65.20,48.71,,,82.47,
January 1990,66.58,100.47,84.08,73.64,48.24,93.36,79.17,82.43,,69.36,73.10,,64.22,72.84,75.56,81.04,65.37,49.65,,58.89,82.65,
February 1990,66.70,100.76,84.74,73.82,48.36,93.66,79.67,82.74,,68.70,72.87,,64.01,73.01,75.64,80.98,65.98,50.57,,60.96,82.73,
March 1990,66.64,100.99,85.13,74.60,48.50,93.61,79.53,83.12,,68.90,72.19,,64.23,73.16,76.60,80.81,66.30,50.77,,62.95,82.76,
April 1990,66.78,100.99,85.55,75.07,48.52,93.59,79.44,82.75,,69.48,71.65,,64.47,73.46,77.27,80.21,66.92,51.46,,65.46,82.68,
May 1990,66.59,100.39,85.74,75.02,48.47,93.11,79.68,82.72,,70.00,70.69,,64.60,73.60,77.85,79.55,67.06,52.07,,66.55,82.33,
June 1990,66.60,100.11,85.75,74.59,48.58,92.63,79.86,82.44,,70.25,69.99,,64.58,74.04,78.73,78.93,67.61,53.39,,67.42,81.99,
July 1990,66.40,99.51,85.59,74.05,48.66,92.23,80.03,82.63,,70.66,69.36,,64.34,73.92,79.65,78.30,67.92,54.43,,67.58,81.57,
August 1990,66.26,99.05,85.34,73.75,48.67,91.84,79.87,82.43,,70.58,68.90,,64.08,73.99,80.58,77.55,68.24,55.56,,67.85,81.17,
September 1990,65.94,98.43,85.22,73.48,48.76,91.43,79.67,82.08,,70.94,68.60,,64.15,73.89,81.00,76.68,68.38,56.63,,67.51,80.77,
October 1990,65.81,98.00,84.92,72.91,48.67,91.26,79.44,81.67,,70.72,68.08,,64.42,73.92,81.55,76.31,68.47,57.01,,67.25,80.36,
November 1990,65.38,97.11,84.65,72.37,48.75,91.01,79.55,81.51,,70.96,67.12,,64.39,73.50,81.38,75.88,68.68,57.09,,66.93,79.91,
December 1990,65.45,96.55,84.03,71.86,48.73,90.94,79.35,81.78,,70.75,66.19,,64.54,73.51,81.70,75.62,68.79,56.82,,66.77,79.52,
