TYPE,STATE,AREANAME, Housing, Food, Child care, Transportation, Health care, Other Necessities,Taxes,Total, Total
1P3C,AZ,"Phoenix-Mesa-Scottsdale, AZ MSA","$1,363",$735,"$1,677",$480,"$1,476",$537,$751,"$7,019","$84,233"
1P3C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,921",$735,"$1,187",$450,"$1,570",$680,$942,"$7,485","$89,816"
1P3C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,581",$735,"$1,187",$480,"$1,316",$593,$793,"$6,685","$80,217"
1P3C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$2,009",$735,"$1,187",$480,"$1,351",$703,$983,"$7,448","$89,373"
1P3C,CA,"San Francisco, CA HUD Metro FMR Area","$2,438",$735,"$1,187",$480,"$1,571",$812,"$1,197","$8,420","$101,042"
1P3C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$2,270",$735,"$1,187",$480,"$1,460",$769,"$1,129","$8,030","$96,358"
1P3C,CO,"Denver-Aurora, CO MSA","$1,379",$735,"$1,650",$480,"$1,450",$541,$761,"$6,997","$83,962"
1P3C,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","$1,394",$735,"$1,722",$480,"$1,669",$545,$816,"$7,362","$88,342"
1P3C,HI,"Honolulu, HI MSA","$1,780",$735,"$1,905",$459,"$1,346",$644,"$1,129","$7,999","$95,983"
1P3C,IL,"St. Louis, MO-IL HUD Metro FMR Area","$1,081",$735,"$1,779",$480,"$1,455",$465,$759,"$6,754","$81,045"
1P3C,MA,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area","$1,798",$735,"$1,990",$480,"$1,587",$649,"$1,102","$8,341","$100,096"
1P3C,MD,"Baltimore-Towson, MD HUD Metro FMR Area","$1,598",$735,"$1,679",$480,"$1,518",$597,$884,"$7,491","$89,889"
1P3C,MD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","$1,394",$735,"$1,679",$459,"$1,669",$545,$888,"$7,370","$88,441"
1P3C,ME,"Portland, ME HUD Metro FMR Area","$1,334",$735,"$1,622",$480,"$1,425",$530,$804,"$6,929","$83,151"
1P3C,MN,"Minneapolis-St. Paul-Bloomington, MN-WI MSA","$1,296",$735,"$1,881",$480,"$1,522",$520,$821,"$7,256","$87,067"
1P3C,MO,"Dallas County, MO HUD Metro FMR Area",$741,$735,"$1,367",$459,"$1,345",$378,$464,"$5,490","$65,882"
1P3C,MO,"St. Louis, MO-IL HUD Metro FMR Area","$1,081",$735,"$1,367",$480,"$1,455",$465,$616,"$6,199","$74,388"
1P3C,NC,"Charlotte-Gastonia-Concord, NC-SC HUD Metro FMR Area","$1,069",$735,"$1,460",$480,"$1,427",$462,$624,"$6,257","$75,081"
