"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
13-048661,"GRAND THEFT","2013-09-22 12:13:00",Sunday,"12:13",THEFT,07X,,"2300 block of San Pablo Avenue, Oakland 94612",37.814437,-122.274438,Street,"http://oakland.crimespotting.org/crime/2013-09-22/Theft/278685"
13-047211,"THREAT CRIME:INT:TERRORIZE","2013-09-15 01:00:00",Sunday,"01:00","SIMPLE ASSAULT",25X,,"3800 block of Maybelle Avenue, Oakland 94619",37.790344,-122.192204,Street,"http://oakland.crimespotting.org/crime/2013-09-15/Simple_Assault/278636"
13-047046,"BURGLARY-FORCIBLE ENTRY","2013-09-14 02:20:00",Saturday,"02:20",BURGLARY,20X,,"1800 block of 28th Avenue, Oakland 94601",37.783749,-122.225523,Street,"http://oakland.crimespotting.org/crime/2013-09-14/Burglary/278602"
13-047084,"VEHICLE THEFT - AUTO","2013-09-14 02:00:00",Saturday,"02:00","VEHICLE THEFT",26Y,,"Oakland, CA, USA",37.804364,-122.271114,Town,"http://oakland.crimespotting.org/crime/2013-09-14/Vehicle_Theft/278601"
13-046847,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-09-13 00:01:00",Friday,"00:01","SIMPLE ASSAULT",05X,,"700 block of East 15th Street, Oakland 94606",37.794388,-122.250575,Street,"http://oakland.crimespotting.org/crime/2013-09-13/Simple_Assault/278578"
13-046298,ROBBERY-FIREARM,"2013-09-10 09:10:00",Tuesday,"09:10",ROBBERY,21Y,,"2800 block of Brookdale Avenue, Oakland 94602",37.793016,-122.217859,Street,"http://oakland.crimespotting.org/crime/2013-09-10/Robbery/278564"
13-046230,BATTERY,"2013-09-10 03:03:00",Tuesday,"03:03","SIMPLE ASSAULT",34X,,"8500 block of International Boulevard, Oakland 94621",37.753118,-122.176883,Street,"http://oakland.crimespotting.org/crime/2013-09-10/Simple_Assault/278557"
13-045957,"EXHIBIT FIREARM","2013-09-08 12:30:00",Sunday,"12:30","SIMPLE ASSAULT",26X,,"900 block of 53rd Avenue, Oakland 94601",37.765342,-122.209532,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278554"
13-045951,"EXHIBIT DEADLY WEAPON OTHER THAN FIREARM","2013-09-08 12:00:00",Sunday,"12:00","SIMPLE ASSAULT",29X,,"7000 block of Lacey Avenue, Oakland 94605",37.770554,-122.172241,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278553"
13-045951,"CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","2013-09-08 12:00:00",Sunday,"12:00","SIMPLE ASSAULT",29X,,"7000 block of Lacey Avenue, Oakland 94605",37.770554,-122.172241,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278552"
13-045946,"SHOOT AT INHABITED DWELLING/VEHICLE/ETC","2013-09-08 11:04:00",Sunday,"11:04","AGGRAVATED ASSAULT",07X,,"3200 block of Peralta Street, Oakland 94608",37.825155,-122.282946,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278551"
13-045961,"MALICIOUSLY DESTROY OTHER'S PROPERTY","2013-09-08 10:00:00",Sunday,"10:00",VANDALISM,02Y,,"700 block of Willow Street, Oakland 94607",37.807384,-122.300566,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vandalism/278547"
13-045941,BATTERY,"2013-09-08 10:00:00",Sunday,"10:00","SIMPLE ASSAULT",14X,,"200 block of Vernon Street, Oakland 94610",37.813727,-122.258338,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278549"
13-045961,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-09-08 10:00:00",Sunday,"10:00","SIMPLE ASSAULT",02Y,,"700 block of Willow Street, Oakland 94607",37.807384,-122.300566,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278546"
13-045939,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-09-08 10:00:00",Sunday,"10:00","AGGRAVATED ASSAULT",11X,,"5500 block of Martin Luther King Junior Way, Oakland 94609",37.840492,-122.269669,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278548"
13-045923,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-09-08 09:20:00",Sunday,"09:20",ROBBERY,24Y,,"4000 block of Walnut Street, Oakland 94619",37.783974,-122.204644,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278545"
13-045927,ROBBERY-FIREARM,"2013-09-08 09:04:00",Sunday,"09:04",ROBBERY,24Y,,"35th Avenue & Lynde Street, Oakland, CA 94601, USA",37.786681,-122.21261,Intersection,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278544"
13-045948,"VEHICLE THEFT - AUTO","2013-09-08 08:52:00",Sunday,"08:52","VEHICLE THEFT",21X,,"2600 block of Foothill Boulevard, Oakland 94601",37.784556,-122.228431,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vehicle_Theft/278543"
13-045922,ROBBERY-FIREARM,"2013-09-08 08:50:00",Sunday,"08:50",ROBBERY,21Y,,"2900 block of School Street, Oakland 94602",37.795153,-122.213388,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278542"
13-045918,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-09-08 07:26:00",Sunday,"07:26","AGGRAVATED ASSAULT",29X,,"6600 block of Laird Avenue, Oakland 94605",37.773386,-122.17503,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278541"
13-045918,"INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","2013-09-08 07:26:00",Sunday,"07:26","AGGRAVATED ASSAULT",29X,,"6600 block of Laird Avenue, Oakland 94605",37.773386,-122.17503,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278540"
13-045937,"VANDALISM:DEFACE PROPERTY","2013-09-08 05:31:00",Sunday,"05:31",VANDALISM,30X,,"1700 block of 70th Avenue, Oakland 94621",37.762942,-122.185488,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vandalism/278539"
13-045915,"ATTEMPTED BURGLARY","2013-09-08 05:30:00",Sunday,"05:30",BURGLARY,04X,,"600 block of 19th Street, Oakland 94612",37.809675,-122.27422,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Burglary/278538"
13-045919,BURGLARY-AUTO,"2013-09-08 04:44:00",Sunday,"04:44",THEFT,05X,,"1200 block of 21st Street, Oakland 94607",37.814942,-122.286557,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Theft/278537"
13-045900,BATTERY,"2013-09-08 02:00:00",Sunday,"02:00","SIMPLE ASSAULT",26Y,,"1305 76th Avenue, Oakland 94621",37.757765,-122.185702,Address,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278536"
13-045899,BATTERY,"2013-09-08 01:21:00",Sunday,"01:21","SIMPLE ASSAULT",02Y,,"1400 block of 7th Street, Oakland 94607",37.805388,-122.294912,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278535"
13-045897,BATTERY,"2013-09-08 01:10:00",Sunday,"01:10","SIMPLE ASSAULT",04X,,"1700 block of Broadway, Oakland 94612",37.807416,-122.269229,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278534"
13-909451,VANDALISM,"2013-09-08 01:00:00",Sunday,"01:00",VANDALISM,,,"500 block of Merrimac Street, Oakland 94612",37.816935,-122.269006,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vandalism/278533"
13-045898,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-09-08 00:52:00",Sunday,"00:52","SIMPLE ASSAULT",17X,,"1700 block of 4th Avenue, Oakland 94606",37.79873,-122.251491,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278532"
