San Francisco Bay Area Rapid Transit District,,,,,,,,,,,,,
Numbers in thousands,,,,,,,,,,,,,
Fiscal year end: June 30,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Fares ,"194,291","213,260","193,701","191,386","220,391","233,651","256,238","282,080","309,457","318,094","332,018","343,472","367,342"
Other ,"17,988","25,182","13,907","13,718","14,155","14,993","18,886","25,290","27,847","30,144","36,568","33,272","34,513"
,,,,,,,,,,,,,
Total operating revenues ,"212,279","238,442","207,608","205,104","234,546","248,644","275,124","307,370","337,304","348,238","368,586","376,744","401,855"
,,,,,,,,,,,,,
Transportation,"92,640","100,406","101,400","105,155","121,257","127,391","125,022","142,989","154,720","167,241","167,023","160,535","167,742"
Maintenance,"128,499","135,353","134,275","135,938","145,683","163,051","168,226","178,839","200,306","210,410","195,746","197,215","214,196"
Police services,"22,880","25,007","27,446","28,135","31,080","37,510","39,109","41,442","44,665","49,607","47,233","47,691","50,365"
Construction and engineering,"15,535","15,476","15,526","16,654","15,824","16,030","17,777","18,160","19,772","23,876","19,939","19,856","17,821"
General and administrative,"84,987","90,283","97,708","94,900","102,849","109,130","111,532","117,962","136,538","121,399","130,949","121,433","134,472"
Depreciation ,"73,606","79,956","94,287","103,669","116,568","128,697","145,306","126,546","133,938","136,764","135,585","138,819","138,010"
,,,,,,,,,,,,,
Total operating expenses ,"418,147","446,481","470,642","484,451","533,261","581,809","606,972","625,938","689,939","709,297","696,475","685,549","722,606"
,,,,,,,,,,,,,
Less - capitalized costs ,"-29,741","-32,441","-37,986","-41,515","-34,758","-33,612","-33,785","-32,286","-36,720","-42,918","-48,636","-55,323","-54,978"
,,,,,,,,,,,,,
Net operating expenses ,"388,406","414,040","432,656","442,936","498,503","548,197","573,187","593,652","653,219","666,379","647,839","630,226","667,628"
,,,,,,,,,,,,,
Operating loss ,"-176,127","-175,598","-225,048","-237,832","-263,957","-299,553","-298,063","-286,282","-315,915","-318,141","-279,253","-253,482","-265,773"
,,,,,,,,,,,,,
Transactions and use tax - sales tax,"170,911","191,648","172,774","167,441","170,566","178,392","191,680","198,805","202,632","184,286","166,520","180,819","195,214"
Property tax,"19,364","17,260","18,713","20,253","21,372","22,412","43,024","50,452","65,341","76,096","61,369","46,109","49,874"
Operating financial assistance,723,529,"1,253","2,419","19,875","16,680","15,749","55,546","57,616","34,068","59,428","28,134","49,894"
Contribution for BART car replacement funding exchange program , - , - , - , - , - , - ,"31,695","-22,680","-22,681","-22,682","-22,683", - ,"-25,940"
Investment income ,"34,477","31,318","28,131","36,276","22,940","36,415", - ,"47,852","49,183","34,875","25,196","11,695","11,023"
Interest expense ,"-33,269","-32,471","-36,044","-40,502","-72,167","-65,265","-60,155","-57,654","-68,460","-68,159","-57,849","-45,503","-43,247"
"Gain from sale of property, net ", - , - , - , - , - , - ,"11,042", - , - , - , - , - , - 
"Other income, net ",-885,-909,-526,-270,-408,425,-135,"-2,976",894,627,399,"1,523","1,057"
,,,,,,,,,,,,,
"Total nonoperating revenues, net ","191,321","207,375","184,301","185,617","162,178","189,059","232,900","269,345","284,525","239,111","232,380","222,777","237,875"
,,,,,,,,,,,,,
Change in net assets before capital contributions and special item ,"15,194","31,777","-40,747","-52,215","-101,779","-110,494","-65,163","-16,937","-31,390","-79,030","-46,873","-30,705","-27,898"
,,,,,,,,,,,,,
Capital Contributions, - , - , - , - ,"75,010","77,947","62,487","75,283","144,096","190,513","252,515","331,912","355,462"
,,,,,,,,,,,,,
Special item: loss on termination of a capital project, - , - , - , - , - , - , - , - , - , - , - ,"-53,194", - 
Special item: grants restricted for capital expenditures, - ,"278,140","235,825","130,193", - , - , - , - , - , - , - , - , - 
Special item: contributions to retiree health benefit trust, - , - , - , - , - ,"-36,222", - , - , - , - , - , - , - 
,,,,,,,,,,,,,
Change in net assets,"15,194","309,917","195,078","77,978","-26,769","-68,769","-2,676","58,346","112,706","111,483","205,642","248,013","327,564"
,,,,,,,,,,,,,
"Net assets, beginning of year","3,795,805","3,810,999","4,120,916","4,346,524","4,424,502","4,397,733","4,328,964","4,326,288","4,384,634","4,497,340","4,608,823","4,814,465","5,062,478"
"Net assets, end of year","3,810,999","4,120,916","4,315,994","4,424,502","4,397,733","4,328,964","4,326,288","4,384,634","4,497,340","4,608,823","4,814,465","5,062,478","5,390,042"
