Job Title,Job Family (Category),Union
Access Administrator,Planning,AFSCME
Access Coordinator,Planning,AFSCME
Account Clerk,Finance & Accounting,SEIU
Accountant,Finance & Accounting,SEIU
Accounting Analyst,Finance & Accounting,SEIU
Accounting Technician,Finance & Accounting,SEIU
Administrative Analyst (Non-Rep),Administrative & Management,Non-Represented
"Administrative Analyst (SEIU, BPOA)",Administrative & Management,"SEIU, BPOA"
Administrative Secretary,Clerical,Non-Represented
Administrative Support Officer,Administrative & Management,SEIU
Administrative Technician,Clerical,ATU
Administrative Technician,Clerical,Non-Represented
Applications Analyst,Information Systems,AFSCME
Applications Programmer Analyst I / II / III,Information Systems,SEIU
Architect,Engineering & Systems Engineering,Non-Represented
Asset Coordinator,Procurement,AFSCME
Assistant Administrative Analyst,Administrative & Management,Non-Represented
Assistant Administrative Analyst,Administrative & Management,SEIU
Assistant Buyer,Procurement,SEIU
Assistant Chief Transportation Officer - Central Control,Transportation Operations,Non-Represented
Assistant Chief Transportation Officer - Service Delivery,Transportation Operations,Non-Represented
Assistant Contract Administrator,Procurement,SEIU
Assistant Controller,Finance & Accounting,Non-Represented
Assistant District Secretary,Administrative & Management,Non-Represented
Assistant General Manager - Administration,Executive Management,Non-Represented
Assistant General Manager - Operations,Executive Management,Non-Represented
Assistant General Manager - Transit System Development,Executive Management,Non-Represented
Assistant Logistics Program Manager,Procurement,AFSCME
Assistant Manager of Revenue Control,Finance & Accounting,AFSCME
Assistant Rolling Stock & Shops Maintenance Supervisor,"Maintenance, Vehicle & Facilities",Non-Represented
Assistant Safety Specialist,Safety,SEIU
Assistant Superintendent of Systems Maintenance,"Maintenance, Vehicle & Facilities",Non-Represented
Assistant Superintendent of Way & Facilities,"Maintenance, Vehicle & Facilities",Non-Represented
Assistant Treasurer,Finance & Accounting,Non-Represented
Assistant Treasury Analyst,Finance & Accounting,SEIU
Associate General Counsel,Legal & Paralegal,Non-Represented
Attorney I / II / III,Legal & Paralegal,Non-Represented
Attorney I / II / III,Legal & Paralegal,Non-Represented
Automatic Fare Collection Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Automatic Fare Collection Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Automotive & Equipment Maintenance Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Automotive & Equipment Maintenance Supervisor,"Maintenance, Vehicle & Facilities",AFSCME
Automotive & Equipment Mechanic,"Maintenance, Vehicle & Facilities",SEIU
Benefits Assistant I / II,Human Resources & Labor Relations,Non-Represented
Budget Analyst,Finance & Accounting,SEIU
Buildings Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Buildings Worker,"Maintenance, Vehicle & Facilities",SEIU
Buyer,Procurement,SEIU
Buyer Technician,Procurement,SEIU
CAD Drafter,Engineering & Systems Engineering,SEIU
Capitol Corridor Group Manager,Administrative & Management,Non-Represented
Cash Handler,Finance & Accounting,SEIU
Cash Handling Electronic Technician,Finance & Accounting,SEIU
Central Maintenance Supervisor,"Maintenance, Vehicle & Facilities",AFSCME
Central Vehicle Trouble Desk Superintendent,"Maintenance, Vehicle & Facilities",Non-Represented
Chief Engineer,Executive Management,Non-Represented
Chief Mechanical Officer,"Maintenance, Vehicle & Facilities",Non-Represented
Chief Safety Officer,Safety,Non-Represented
Chief Transit System Development Officer,Executive Management,Non-Represented
Chief Transportation Officer,Transportation Operations,Non-Represented
Civil Engineer,Engineering & Systems Engineering,Non-Represented
Civil Rights Officer I / II,Human Resources & Labor Relations,Non-Represented
Civil Rights Technician,Human Resources & Labor Relations,Non-Represented
Clerk,Clerical,SEIU
Clerk,Clerical,Non-Represented
Communications Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Communications Coordinator,Public Affairs & Marketing,SEIU
Communications Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Communications Specialist,Transportation Operations,ATU
Community Services Officer,Police,BPOA
Computer Electronic Technician,"Maintenance, Vehicle & Facilities",SEIU
Computer Operator,Information Systems,SEIU
Computer Support Coordinator,Information Systems,SEIU
Computer Systems Engineer,Engineering & Systems Engineering,Non-Represented
Construction Engineer,Engineering & Systems Engineering,Non-Represented
Contract Administrator,Procurement,SEIU
Contract Specialist I / II / III,Procurement,Non-Represented
Contracts Technician,Procurement,SEIU
Controller Treasurer,Finance & Accounting,Non-Represented
Customer Service Clerk,Clerical,SEIU
Customer Services Administrator,Public Affairs & Marketing,SEIU
Customer Services Representative,Public Affairs & Marketing,SEIU
Data Controller,Information Systems,SEIU
Data Entry Operator,Information Systems,SEIU
Database Administrator,Information Systems,AFSCME
"Department Manager, Capital Development & Control",Finance & Accounting,Non-Represented
"Department Manager, Customer Access",Planning,Non-Represented
"Department Manager, Customer Services",Public Affairs & Marketing,Non-Represented
"Department Manager, Government & Community Relations",Public Affairs & Marketing,Non-Represented
"Department Manager, Human Resources",Human Resources & Labor Relations,Non-Represented
"Department Manager, Information Systems",Information Systems,Non-Represented
"Department Manager, Insurance",Finance & Accounting,Non-Represented
"Department Manager, Internal Audit",Audit,Non-Represented
"Department Manager, Labor Relations",Administrative & Management,Non-Represented
"Department Manager, Marketing & Research",Public Affairs & Marketing,Non-Represented
"Department Manager, Media Public Affairs",Public Affairs & Marketing,Non-Represented
"Department Manager, Office of Civil Rights",Human Resources & Labor Relations,Non-Represented
"Department Manager, Operating Budgets & Analysis",Finance & Accounting,Non-Represented
"Department Manager, Operations Planning",Transportation Operations,Non-Represented
"Department Manager, Operations Training & Development",Transportation Operations,Non-Represented
"Department Manager, Planning",Planning,Non-Represented
"Department Manager, Procurement",Procurement,Non-Represented
"Department Manager, Property Development",Planning,Non-Represented
"Department Manager, Rail Vehicle Capital Program",Engineering & Systems Engineering,Non-Represented
"Department Manager, Real Estate & Right of Way Management",Administrative & Management,Non-Represented
Deputy Assistant District Secretary,Administrative & Management,Non-Represented
"Deputy Executive Manager, Transit System Development",Executive Management,Non-Represented
Deputy General Manager,Executive Management,Non-Represented
"Deputy Managing Director, Capitol Corridor",Administrative & Management,Non-Represented
Deputy Police Chief,Police,Non-Represented
District Architect,Engineering & Systems Engineering,Non-Represented
District Real Estate Surveyor,Real Estate,AFSCME
District Right of Way Surveyor,Real Estate,AFSCME
District Secretary,Administrative & Management,Non-Represented
"Division Manager, Maintenance Support","Maintenance, Vehicle & Facilities",Non-Represented
Documentation Configuration Controller,Engineering & Systems Engineering,SEIU
Drafting Supervisor,Engineering & Systems Engineering,SEIU
Drug Testing Coordinator,Human Resources & Labor Relations,Non-Represented
Dump Truck Equipment Operator,"Maintenance, Vehicle & Facilities",SEIU
Electrical Engineer,Engineering & Systems Engineering,Non-Represented
Electrical Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Electrical Helper,"Maintenance, Vehicle & Facilities",SEIU
Electrician,"Maintenance, Vehicle & Facilities",SEIU
Electronic Repair Shop Foreworker,"Maintenance, Vehicle & Facilities",SEIU
Electronic Repair Shop Technician,"Maintenance, Vehicle & Facilities",SEIU
Electronic/Electro-Mechanical Assembler,"Maintenance, Vehicle & Facilities",SEIU
Electronics and Communications Engineer,Engineering & Systems Engineering,Non-Represented
