Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave
1914,2.0,1.0,1.0,0.0,2.1,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0
1915,1.0,1.0,0.0,2.0,2.0,2.0,1.0,-1.0,-1.0,1.0,1.0,2.0,1.0
1916,3.0,4.0,6.1,6.0,5.9,6.9,6.9,7.9,9.9,10.8,11.7,12.6,7.9
1917,12.5,15.4,14.3,18.9,19.6,20.4,18.5,19.3,19.8,19.5,17.4,18.1,17.4
1918,19.7,17.5,16.7,12.7,13.3,13.1,18.0,18.5,18.0,18.5,20.7,20.4,18.0
1919,17.9,14.9,17.1,17.6,16.6,15.0,15.2,14.9,13.4,13.1,13.5,14.5,14.6
1920,17.0,20.4,20.1,21.6,21.9,23.7,19.5,14.7,12.4,9.9,7.0,2.6,15.6
1921,-1.6,-5.6,-7.1,-10.8,-14.1,-15.8,-14.9,-12.8,-12.5,-12.1,-12.1,-10.8,-10.5
1922,-11.1,-8.2,-8.7,-7.7,-5.6,-5.1,-5.1,-6.2,-5.1,-4.6,-3.4,-2.3,-6.1
1923,-0.6,-0.6,0.6,1.2,1.2,1.8,2.4,3.0,3.6,3.6,3.0,2.4,1.8
1924,3.0,2.4,1.8,0.6,0.6,0.0,-0.6,-0.6,-0.6,-0.6,-0.6,0.0,0.0
1925,0.0,0.0,1.2,1.2,1.8,2.9,3.5,4.1,3.5,2.9,4.7,3.5,2.3
1926,3.5,4.1,2.9,4.1,2.9,1.1,-1.1,-1.7,-1.1,-0.6,-1.7,-1.1,1.1
1927,-2.2,-2.8,-2.8,-3.4,-2.2,-0.6,-1.1,-1.1,-1.1,-1.1,-2.3,-2.3,-1.7
1928,-1.1,-1.7,-1.2,-1.2,-1.1,-2.8,-1.2,-0.6,0.0,-1.1,-0.6,-1.2,-1.7
1929,-1.2,0.0,-0.6,-1.2,-1.2,0.0,1.2,1.2,0.0,0.6,0.6,0.6,0.0
1930,0.0,-0.6,-0.6,0.6,-0.6,-1.8,-4.0,-4.6,-4.0,-4.6,-5.2,-6.4,-2.3
1931,-7.0,-7.6,-7.7,-8.8,-9.5,-10.1,-9.0,-8.5,-9.6,-9.7,-10.4,-9.3,-9.0
1932,-10.1,-10.2,-10.3,-10.3,-10.5,-9.9,-9.9,-10.6,-10.7,-10.7,-10.2,-10.3,-9.9
1933,-9.8,-9.9,-10.0,-9.4,-8.0,-6.6,-3.7,-2.2,-1.5,-0.8,0.0,0.8,-5.1
1934,2.3,4.7,5.6,5.6,5.6,5.5,2.3,1.5,3.0,2.3,2.3,1.5,3.1
1935,3.0,3.0,3.0,3.8,3.8,2.2,2.2,2.2,0.7,1.5,2.2,3.0,2.2
1936,1.5,0.7,0.0,-0.7,-0.7,0.7,1.5,2.2,2.2,2.2,1.4,1.4,1.5
1937,2.2,2.2,3.6,4.4,5.1,4.3,4.3,3.6,4.3,4.3,3.6,2.9,3.6
1938,0.7,0.0,-0.7,-0.7,-2.1,-2.1,-2.8,-2.8,-3.4,-4.1,-3.4,-2.8,-2.1
1939,-1.4,-1.4,-1.4,-2.8,-2.1,-2.1,-2.1,-2.1,0.0,0.0,0.0,0.0,-1.4
1940,-0.7,0.7,0.7,1.4,1.4,2.2,1.4,1.4,-0.7,0.0,0.0,0.7,0.7
1941,1.4,0.7,1.4,2.1,2.9,4.3,5.0,6.4,7.9,9.3,10.0,9.9,5.0
1942,11.3,12.1,12.7,12.6,13.2,10.9,11.6,10.7,9.3,9.2,9.1,9.0,10.9
1943,7.6,7.0,7.5,8.1,7.4,7.4,6.1,4.8,5.5,4.2,3.6,3.0,6.1
1944,3.0,3.0,1.2,0.6,0.0,0.6,1.7,2.3,1.7,1.7,1.7,2.3,1.7
1945,2.3,2.3,2.3,1.7,2.3,2.8,2.3,2.3,2.3,2.3,2.3,2.2,2.3
1946,2.2,1.7,2.8,3.4,3.4,3.3,9.4,11.6,12.7,14.9,17.7,18.1,8.3
1947,18.1,18.8,19.7,19.0,18.4,17.6,12.1,11.4,12.7,10.6,8.5,8.8,14.4
1948,10.2,9.3,6.8,8.7,9.1,9.5,9.9,8.9,6.5,6.1,4.8,3.0,8.1
1949,1.3,1.3,1.7,0.4,-0.4,-0.8,-2.9,-2.9,-2.4,-2.9,-1.7,-2.1,-1.2
1950,-2.1,-1.3,-0.8,-1.3,-0.4,-0.4,1.7,2.1,2.1,3.8,3.8,5.9,1.3
1951,8.1,9.4,9.3,9.3,9.3,8.8,7.5,6.6,7.0,6.5,6.9,6.0,7.9
1952,4.3,2.3,1.9,2.3,1.9,2.3,3.1,3.1,2.3,1.9,1.1,0.8,1.9
1953,0.4,0.8,1.1,0.8,1.1,1.1,0.4,0.7,0.7,1.1,0.7,0.7,0.8
1954,1.1,1.5,1.1,0.8,0.7,0.4,0.4,0.0,-0.4,-0.7,-0.4,-0.7,0.7
1955,-0.7,-0.7,-0.7,-0.4,-0.7,-0.7,-0.4,-0.4,0.4,0.4,0.4,0.4,-0.4
1956,0.4,0.4,0.4,0.7,1.1,1.9,2.2,1.9,1.9,2.2,2.2,3.0,1.5
1957,3.0,3.4,3.7,3.7,3.7,3.3,3.3,3.7,3.3,2.9,3.3,2.9,3.3
1958,3.6,3.2,3.6,3.6,3.2,2.8,2.5,2.1,2.1,2.1,2.1,1.8,2.8
1959,1.4,1.0,0.3,0.3,0.3,0.7,0.7,1.0,1.4,1.7,1.4,1.7,0.7
1960,1.0,1.7,1.7,1.7,1.7,1.7,1.4,1.4,1.0,1.4,1.4,1.4,1.7
1961,1.7,1.4,1.4,1.0,1.0,0.7,1.4,1.0,1.4,0.7,0.7,0.7,1.0
1962,0.7,1.0,1.0,1.3,1.3,1.3,1.0,1.3,1.3,1.3,1.3,1.3,1.0
1963,1.3,1.0,1.3,1.0,1.0,1.3,1.3,1.3,1.0,1.3,1.3,1.6,1.3
1964,1.6,1.6,1.3,1.3,1.3,1.3,1.3,1.0,1.3,1.0,1.3,1.0,1.3
1965,1.0,1.0,1.3,1.6,1.6,1.9,1.6,1.9,1.6,1.9,1.6,1.9,1.6
1966,1.9,2.6,2.6,2.9,2.9,2.5,2.8,3.5,3.5,3.8,3.8,3.5,2.9
