time,flow,lanes,observed_percent
1371304800000,0,0,60
1371308400000,0,0,60
1371312000000,2866,.0514,60
1371315600000,6936,.0962,60
1371319200000,7453,.1071,60
1371322800000,7573,.1097,60
1371326400000,7701,.1272,60
1371330000000,8081,.143,60
1371333600000,7900,.2593,60
1371337200000,7827,.2678,60
1371340800000,7652,.2743,60
1371344400000,7575,.2662,60
1371348000000,7548,.2606,60
1371351600000,6067,.083,60
1371355200000,6164,.088,60
1371358800000,6357,.0896,60
1371362400000,5250,.0691,60
1371366000000,3964,.0653,60
1371369600000,3034,.0442,60
1371373200000,3108,.0677,60
1371376800000,1613,.023,60
1371380400000,1097,.0132,60
1371384000000,1261,.0151,60
1371387600000,1863,.021,60
1371391200000,2619,.0295,60
1371394800000,3569,.0428,60
1371398400000,1545,.0185,60
1371402000000,0,0,60
1371405600000,0,0,60
1371409200000,0,0,60
1371412800000,0,0,60
1371416400000,0,0,60
1371420000000,0,0,60
1371423600000,0,0,60
1371427200000,0,0,60
1371430800000,0,0,60
1371434400000,0,0,60
1371438000000,0,0,60
1371441600000,0,0,60
1371445200000,0,0,60
1371448800000,2562,.0324,60
1371452400000,2320,.0366,60
1371456000000,1393,.0252,60
1371459600000,1060,.0212,60
1371463200000,850,.0203,60
1371466800000,989,.0207,60
1371470400000,1570,.0283,60
1371474000000,3490,.0499,60
1371477600000,5521,.0764,60
1371481200000,6729,.105,60
1371484800000,5878,.0925,60
1371488400000,6018,.1002,60
1371492000000,6008,.0989,60
1371495600000,6524,.1119,60
1371499200000,6251,.1082,60
1371502800000,6153,.1077,60
1371506400000,7672,.1216,60
1371510000000,7649,.124,60
1371513600000,6459,.1035,60
1371517200000,7554,.13,60
1371520800000,6332,.0877,60
1371524400000,5140,.0697,60
1371528000000,5128,.0729,60
1371531600000,5126,.0713,60
1371535200000,5512,.1378,60
1371538800000,514,.0107,60
1371542400000,282,.0052,60
1371546000000,180,.0031,60
1371549600000,180,.0029,60
1371553200000,175,.0029,60
1371556800000,354,.0053,60
1371560400000,4208,.0533,60
1371564000000,6378,.0828,60
1371567600000,6721,.12,60
1371571200000,6210,.0966,60
1371574800000,5131,.079,60
1371578400000,3621,.0554,60
1371582000000,3927,.0627,60
1371585600000,4160,.0792,60
1371589200000,7602,.2363,60
1371592800000,8117,.2461,60
1371596400000,7469,.1676,60
1371600000000,8129,.2177,60
1371603600000,8266,.1648,60
1371607200000,7620,.1797,60
1371610800000,5899,.0765,60
1371614400000,6206,.0867,60
1371618000000,5625,.0764,60
1371621600000,4185,.084,60
1371625200000,3137,.0506,60
1371628800000,1749,.0274,60
1371632400000,1284,.0322,60
1371636000000,616,.0123,45
1371639600000,893,.0134,60
1371643200000,1741,.0229,60
1371646800000,4033,.0552,60
1371650400000,6610,.0963,60
1371654000000,6907,.1109,60
1371657600000,6116,.0978,60
1371661200000,5660,.1015,60
1371664800000,5758,.0967,60
1371668400000,6229,.1024,60
1371672000000,6619,.1157,60
1371675600000,8204,.1351,60
1371679200000,8929,.1452,60
1371682800000,8586,.1409,60
1371686400000,7407,.1703,60
1371690000000,7790,.2356,60
1371693600000,8504,.1478,60
1371697200000,8303,.1338,60
1371700800000,6851,.1013,60
1371704400000,5822,.0792,60
1371708000000,3895,.0503,60
1371711600000,2807,.0349,60
1371715200000,1840,.0235,60
1371718800000,1309,.0167,60
1371722400000,842,.0135,60
1371726000000,908,.013,60
1371733200000,3817,.0536,55
1371736800000,6180,.0885,60
1371740400000,6898,.1122,60
1371744000000,5993,.0983,60
1371747600000,6038,.0992,60
1371751200000,5977,.0978,60
1371754800000,6181,.171,60
1371758400000,6063,.1529,60
1371762000000,8217,.259,60
1371765600000,8479,.2631,60
1371769200000,8712,.2332,60
1371772800000,7843,.2545,60
1371776400000,8465,.229,60
1371780000000,7817,.2305,60
1371783600000,6529,.1848,60
1371787200000,7332,.106,60
1371790800000,7381,.1152,60
1371794400000,4441,.1054,60
1371798000000,3135,.0828,60
1371801600000,2635,.0996,60
1371805200000,1248,.0462,60
1371808800000,1224,.0593,60
1371812400000,970,.025,60
1371816000000,1842,.0268,60
1371819600000,3817,.0489,60
1371823200000,5948,.0884,60
1371826800000,6390,.1035,60
1371830400000,5998,.1001,60
1371834000000,6073,.1668,60
1371837600000,5974,.2331,60
1371841200000,7413,.251,60
1371844800000,7349,.1722,60
1371848400000,8086,.2543,60
1371852000000,8478,.2551,60
1371855600000,7944,.2118,60
1371859200000,8632,.1383,60
1371862800000,8330,.1799,60
1371866400000,7435,.2505,60
1371870000000,7214,.1509,60
1371873600000,6562,.1636,60
1371877200000,7280,.1059,60
1371880800000,6695,.1301,60
1371884400000,4270,.0548,60
1371888000000,3065,.0377,60
1371891600000,2676,.0346,60
1371895200000,1402,.0175,60
1371898800000,1066,.0152,60
1371902400000,1333,.0164,60
1371906000000,2316,.0275,60
1371909600000,3621,.0454,60
1371913200000,4855,.0627,60
1371916800000,5796,.0778,60
1371920400000,6753,.0949,60
1371924000000,6945,.0968,60
1371927600000,7324,.112,60
1371931200000,7456,.108,60
1371934800000,7751,.1165,60
1371938400000,7914,.1307,60
1371942000000,7780,.217,60
1371945600000,7737,.2583,60
1371949200000,7554,.2435,60
1371952800000,6510,.2729,60
1371956400000,6752,.1395,60
1371960000000,6314,.0916,60
1371963600000,6749,.0982,60
1371967200000,5758,.078,60
1371970800000,4057,.0516,60
1371974400000,3006,.0364,60
1371978000000,3063,.0383,60
1371981600000,1623,.0199,60
